649,0.10684,0.00129,-0.00001
650,0.10167,0.00116,-0.00001
651,0.09672,0.00104,-0.00001
652,0.09194,0.00093,-0.00001
653,0.08732,0.00083,-0.00001
654,0.08287,0.00074,-0.00001
655,0.07857,0.00066,-0.00001
656,0.07442,0.00059,-0.00001
657,0.07042,0.00052,-0.00001
658,0.06657,0.00047,0
659,0.06287,0.00042,0
660,0.05932,0.00037,0
661,0.0559,0.00033,0
662,0.05263,0.00029,0
663,0.0495,0.00026,0
664,0.04651,0.00023,0
665,0.04366,0.00021,0
666,0.04094,0.00019,0
667,0.03837,0.00016,0
668,0.03593,0.00014,0
669,0.03364,0.00013,0
670,0.03149,0.00011,0
671,0.02953,0.0001,0
672,0.0277,0.00009,0
673,0.026,0.00008,0
674,0.02442,0.00007,0
675,0.02294,0.00006,0
676,0.02157,0.00005,0
677,0.02029,0.00005,0
678,0.01909,0.00004,0
679,0.01795,0.00003,0
680,0.01687,0.00003,0
681,0.01578,0.00003,0
682,0.01473,0.00002,0
683,0.01373,0.00002,0
684,0.01277,0.00001,0
685,0.01187,0.00001,0
686,0.01103,0.00001,0
687,0.01025,0,0
688,0.00951,0,0
689,0.00883,0,0
690,0.00819,0,0
691,0.00761,0,0
692,0.00708,0,0
693,0.00659,0,0
694,0.00613,0,0
695,0.00572,0,0
696,0.00534,0,0
697,0.00499,0,0
698,0.00467,0,0
699,0.00438,0,0
700,0.0041,0,0
701,0.00383,0,0
702,0.00358,0,0
703,0.00334,0,0
704,0.00312,0,0
705,0.00291,0,0
706,0.00272,0,0
707,0.00255,0,0
708,0.00239,0,0
709,0.00224,0,0
710,0.0021,0,0
711,0.00196,0,0
712,0.00183,0,0
713,0.00171,0,0
714,0.00159,0,0
715,0.00148,0,0
716,0.00138,0,0
717,0.00129,0,0
718,0.0012,0,0
719,0.00112,0,0
720,0.00105,0,0
721,0.00098,0,0
722,0.00091,0,0
723,0.00085,0,0
724,0.00079,0,0
725,0.00074,0,0
726,0.00069,0,0
727,0.00064,0,0
728,0.0006,0,0
729,0.00056,0,0
730,0.00052,0,0
731,0.00048,0,0
732,0.00045,0,0
733,0.00042,0,0
734,0.00039,0,0
735,0.00036,0,0
736,0.00033,0,0
737,0.00031,0,0
738,0.00029,0,0
739,0.00027,0,0
740,0.00025,0,0
741,0.00023,0,0
742,0.00021,0,0
743,0.0002,0,0
744,0.00018,0,0
745,0.00017,0,0
746,0.00016,0,0
747,0.00015,0,0
748,0.00014,0,0
749,0.00013,0,0
750,0.00012,0,0
751,0.00011,0,0
752,0.0001,0,0
753,0.00009,0,0
754,0.00009,0,0
755,0.00008,0,0
756,0.00008,0,0
757,0.00007,0,0
758,0.00007,0,0
759,0.00006,0,0
760,0.00006,0,0
761,0.00006,0,0
762,0.00005,0,0
763,0.00005,0,0
764,0.00004,0,0
765,0.00004,0,0
766,0.00004,0,0
767,0.00004,0,0
768,0.00003,0,0
769,0.00003,0,0
770,0.00003,0,0
771,0.00003,0,0
772,0.00002,0,0
773,0.00002,0,0
774,0.00001,0,0
775,0,0,0
776,0,0,0
777,0,0,0
778,0,0,0
779,0,0,0
780,0,0,0
